jurisdicción,sector,ámbito,departamento,código_de_departamento,localidad,código_de_localidad,cueanexo,nombre,domicilio,c._p.,teléfono,mail,nro
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820002400,E.E. TÉCNICO PROFESIONAL NRO 465 GENERAL MANUEL BELGRANO,27 DE FEBRERO 150 CENTRO ,S2000,0341 4728174,sec465_rosario@santafe.edu.ar,465
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820002500,JARDIN DE INFANTES PART. INC. NRO 1391 COLEGIO SAN BARTOLOME,MITRE 466 CENTRO ,S2000,0341 4406268,jardin1391_rosario@santafe.edu.ar,1391
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820002501,AULA RADIAL I - JARDIN DE INFANTES PART. INC. NRO 1391 COLEGIO SAN BARTOLOME,WILDE 1149 FISHERTON ,S2000,0341 4589791,jardin1391_rosario@santafe.edu.ar,1391
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820002600,E.E.S. ORIENTADA PART. AUT. NRO 2060 GENERAL MANUEL BELGRANO,CATAMARCA 2451 CENTRO ,S2000,0341 4361302,sec2060_rosario@santafe.edu.ar,2060
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820002800,I.S.P.I. NRO 4011 GENERAL MANUEL BELGRANO,CATAMARCA 2451 CENTRO ,S2000,0341 4354082,superior4011_rosario@santafe.edu.ar,4011
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820002900,E.E.M.P.A. NRO 1224 DOCTOR RENÉ GERÓNIMO FAVALORO,MORENO 599  ,S2128,03402 420626,eempa1224_arroyoseco@santafe.edu.ar,1224
Santa Fe,Estatal,Urbano,ROSARIO,82084,GENERAL LAGOS,82084024,820002901,ANEXO I - E.E.M.P.A. NRO 1224,SARMIENTO 321  ,S2127,03402 490240,eempa6224_generallagos@santafe.edu.ar,1224
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820003000,ESCUELA NRO 247 MARTIN MIGUEL DE GUEMES,GALVEZ 350  ,S2128,03402 428340,prim247_arroyoseco@santafe.edu.ar,247
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820003100,ESCUELA PRIMARIA NOCTURNA NRO 78 FLOR DE CEIBO,JUAN B JUSTO  NASURDI ,S2128,03402 420623,primadulto78_arroyoseco@santafe.edu.ar,78
Santa Fe,Estatal,Urbano,ROSARIO,82084,PUEBLO ESTHER,82084034,820003102,GRADO RADIAL II - ESCUELA NOCTURNA NRO 78,ALBERDI - RUTA PROVINCIAL 21 1190  ,S2126,03402 499039,primadulto78_arroyoseco@santafe.edu.ar,78
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820003103,GRADO RADIAL III - ESCUELA NOCTURNA NRO 78,GALVEZ 350 NAZURDI ,S2128,03402 428257,PRIMADULTO78_ARROYOSECO@SANTAFE.EDU.AR,78
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820003104,CE.C.LA. NRO 128,JUAN B JUSTO  NASURDI ,S2128,- -,cecla128_arroyoseco@santafe.edu.ar,128
Santa Fe,Estatal,Urbano,ROSARIO,82084,ARROYO SECO,82084007,820003200,ESCUELA NRO 6194 ALMAFUERTE,   PARAJE EL OMBU ZONA RURAL,S2128,03402 576572,prim6194_arroyoseco@santafe.edu.ar,6194
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820003300,ESCUELA ESP. PART. INC. NRO 1294 SANTA CLARA,SAN MARTIN 6645 IRIGOYEN ,S2000,0341 4627116,especial1294_rosario@santafe.edu.ar,1294
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820003500,E.E.S. ORIENTADA PART. INC. NRO 8010 NUESTRA SEÑORA DE LA MISERICORDIA,BV OROÑO 960 CENTRO ,S2000,0341 4488184,sec8010_rosario@santafe.edu.ar,8010
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820003600,E.E.M.P.I. NRO 3013 SANTA MARIA JOSEFA ROSSELLO,BV OROÑO 960 CENTRO ,S2000,0341 4259426,sec3013_rosario@santafe.edu.ar,3013
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820003700,E.E.M.P.A. NRO 1306 ROBERTO FONTANARROSA,AYOLAS 580  ,S2000,0341 4729723,eempa1306_rosario@santafe.edu.ar,1306
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820003701,ANEXO I - E.E.M.P.A. NRO 1306,OMBU 3840 HUME ,S2000,0341 47297223,eempa6306_rosario@santafe.edu.ar,1306
Santa Fe,Estatal,Urbano,9 DE JULIO,82077,TOSTADO,82077020,820003800,JARDIN DE INFANTES NRO 139 PROFESORA MARIA INES GRIFFA,SAAVEDRA Y JUAN DOMINGO PERON S/N GUEMES ,S3060,03491 471139,jardin139_tostado@santafe.edu.ar,139
Santa Fe,Estatal,Urbano,9 DE JULIO,82077,TOSTADO,82077020,820003900,ESCUELA ESPECIAL NRO 2036,SAAVEDRA Y JUAN DOMINGO PERON S/N GUEMES ,S3060,03491 470635,especial2036_tostado@santafe.edu.ar,2036
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004000,ESCUELA PROVINCIAL DE MUSICA DE ROSARIO NRO 5030,SANTA FE 1154 CENTRO ,S2000,0341 4721408,supart5030_rosario@santafe.edu.ar,5030
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004100,ESCUELA NRO 55 DOMINGO FAUSTINO SARMIENTO,BUENOS AIRES 975 CENTRO 1°PISO,S2000,0341  4721427,prim55_rosario@santafe.edu.ar,55
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004200,INST.SUPERIOR DEL PROF.DE MUSICA N 5932 CARLOS GUASTAVINO,SANTA FE 1154 CENTRO ,S2000,0341 4721408,supart5932_rosario@santafe.edu.ar,5932
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004201,ANEXO INST. SUP. DEL PROF. DE MUSICA NRO 5932 CARLOS GUASTAVINO,SANTA FE 1429  ,S2000,0341 4721408,supart5932_rosario@santafe.edu.ar,5932
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004300,E.E.M.P.A. NRO 1232,BV OROÑO 5635 LAS DELICIAS ,S2000,0341 4238966,eempa1232_rosario@santafe.edu.ar,1232
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004301,ANEXO I - E.E.M.P.A. NRO 6232,RODRIGUEZ 4651 DOMINGO MATHEU ,S2000,0341 4729695,eempa6232_rosario@santafe.edu.ar,6232
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004302,EXTENSION AULICA E.E.M.P.A. NRO 1232,CALLE 2133 3450  ,S2000,- -,eempa1232_rosario@santafe.edu.ar,1232
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004303,ANEXO II - E.E.M.P.A. NRO 7232,FRANCIA 4855  UNIDAD PENAL NRO 6,S2000,- -,eempa7232_rosario@santafe.edu.ar,7232
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820004400,ESCUELA PART. INC. NRO 1334 MARIA MADRE DE LA CIVILIZACION DEL AMOR,URUGUAY 4051 ALVEAR ,S2000,0341 4322082,prim1334_rosario@santafe.edu.ar,1334
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004500,ESCUELA NRO 1202 GENDARMERIA NACIONAL,CONSTITUCION 3270 SAN FRANCISQUITO ,S2000,0341 4725530,prim1202_rosario@santafe.edu.ar,1202
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820004700,E.E.M.P.A. NRO 1284 SARGENTO MAYOR MANUEL ESCALADA,SANCHEZ DE BUSTAMANTE BIS 83  ,S2000,0341 4729616,eempa1284_rosario@santafe.edu.ar,1284
Santa Fe,Estatal,Urbano,ROSARIO,82084,VILLA GOBERNADOR GALVEZ,82084043,820004701,EXTENSION AULICA E.E.M.P.A. NRO 1284,LA RIBERA 550 LA RIBERA ,S2124,- -,eempa1284_rosario@santafe.edu.ar,1284
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820004800,ESCUELA PART. INC. NRO 1417 SAN PABLO,NECOCHEA 4200 TABLADA ,S2000,0341 4625231,prim1417_rosario@santafe.edu.ar,1417
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820005000,I.S.P.I. NRO 4009 CIENCIAS COMERCIALES,ESTANISLAO ZEBALLOS 1438 CENTRO ,S2000,0341 4254644/4648,superior4009_rosario@santafe.edu.ar,4009
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SAN JERONIMO DEL SAUCE,82070040,820005100,ESCUELA NRO 334 BRIGADIER GENERAL ESTANISLAO LOPEZ,   RUTA 19 KM 44 CAMPO LA VIGILANCIA,S3012,0342 4750971,prim334_sanjeronimodelsauce@santafe.edu.ar,334
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SAN CARLOS NORTE,82070038,820005200,ESCUELA NRO 811 CARLOS BECK BERNARD,ZONA RURAL   SAN CARLOS NORTE,S3010,0342 155282220,prim811_sancarlosnorte@santafe.edu.ar,811
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SAN JERONIMO DEL SAUCE,82070040,820005300,JARDIN DE INFANTES NRO 170 CLARA AGUIRRE,SAN JAVIER 766  ,S3009,03404 495100,jardin170_sanjeronimodelsauce@santafe.edu.ar,170
Santa Fe,Estatal,Urbano,CASTELLANOS,82021,SAN VICENTE,82021053,820005400,E.E.M.P.A. NRO 1301,LOPEZ Y PLANES 89  ,S2447,03492 471085,eempa1301_sanvicente@santafe.edu.ar,1301
Santa Fe,Estatal,Urbano,SAN MARTIN,82126,SAN MARTIN DE LAS ESCOBAS,82126022,820005401,ANEXO I - E.E.M.P.A. NRO 1301,SARMIENTO 1235  ,S2449,03406 498227,eempa6301_sanmartindelasescobas@santafe.edu.ar,1301
Santa Fe,Estatal,Rural,CASTELLANOS,82021,ANGELICA,82021002,820005402,ANEXO II - E.E.M.P.A. NRO 1301,ESPERANZA 282  ,S2303,- -,EEMPA7301_ANGELICA@SANTAFE.EDU.AR,1301
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,HUMBOLDT,82070017,820005500,ESCUELA NRO 6037 JUSTO JOSE DE URQUIZA,URQUIZA 2185  ,S3081,03496 480168,prim6037_humboldt@santafe.edu.ar,6037
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,CAVOUR,82070003,820005501,C.E.R. NRO 470 DOCTOR RAFAEL BIELSA,   COLONIA CAVOUR,S3081,03496 480168,cer470_cavour@santafe.edu.ar,470
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,HUMBOLDT,82070017,820005502,C.E.R. NRO 540 ISABEL LA CATOLICA,   HUMBOLDT CHICO,S3081,03496 480168,cer540_humboldt@santafe.edu.ar,540
Santa Fe,Privado,Urbano,LAS COLONIAS,82070,HUMBOLDT,82070017,820005600,ESCUELA PART. INC. NRO 1011 SAN JOSE,SAN JOSE 1594  ,S3081,03496 480407,prim1011_humboldt@santafe.edu.ar,1011
Santa Fe,Privado,Urbano,LAS COLONIAS,82070,HUMBOLDT,82070017,820005700,E.E.S. ORIENTADA PART. INC. NRO 8182 CENTENARIO DE HUMBOLDT,AV SAN MARTIN 1635  ,S3081,03496 480185,sec8182_humboldt@santafe.edu.ar,8182
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,HUMBOLDT,82070017,820005800,E.E.M.P.A. NRO 1278,SAN JOSE 2002  ,S3081,03496 480814,eempa1278_humboldt@santafe.edu.ar,1278
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,PILAR,82070029,820005801,ANEXO I - E.E.M.P.A. NRO 1278,SAN MARTIN 1497  ,S3085,03404 470071,eempa6278_pilar@santafe.edu.ar,1278
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,NUEVO TORINO,82070026,820005802,ANEXO II - E.E.M.P.A. NRO 1278,GUILLERMO LEHMANN 515  RUTA NRO 10 - ESCUELA FISCAL NRO 336,S3088,03496 494523 - 494672,eempa7278_nuevotorino@santafe.edu.ar,1278
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,COLONIA NUEVA CENTRO,82070060,820006000,ESCUELA NRO 331 DOMINGO FAUSTINO SARMIENTO,   COLONIA NUEVA CENTRO,S3081,- -,prim331_humboldt@santafe.edu.ar,331
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,COLONIA NUEVA NORTE,82070061,820006100,ESCUELA NRO 335 MARIANO MORENO,   COLONIA NUEVA NORTE,S3081,03496 15464951,prim335_humboldt@santafe.edu.ar,335
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SAN CARLOS CENTRO,82070037,820006200,ESCUELA PRIMARIA NOCTURNA NRO 86 ARTEMIO GROSSO,JUAN M. LHERITIER 665  ,S3013,03404 422028,primadulto86_sancarloscentro@santafe.edu.ar,86
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SANTA CLARA DE BUENA VISTA,82070044,820006204,GRADO RADIAL IV - ESCUELA NOCTURNA NRO 86,MINGURA 600  BIBLIOTECA POPULAR RENE DUTRUEL,S2258,- -,primadulto86_sancarloscentro@santafe.edu.ar,86
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SAN CARLOS CENTRO,82070037,820006205,CE.C.LA. NRO 73,JUAN M. LHERITIER 665  ,S3013,03404 422028,cecla73_sancarloscentro@santafe.edu.ar,73
Santa Fe,Estatal,Urbano,SAN JERONIMO,82105,GALVEZ,82105014,820006206,C.E.P.A. NRO 29,MENDOZA 1056 SAN JOSE ,S2252,03404 420028,cepa29_galvez@santafe.edu.ar,29
Santa Fe,Estatal,Rural,SAN JERONIMO,82105,GESSLER,82105015,820006207,GRADO RADIAL V - ESCUELA NOCTURNA NRO 86 ARTEMIO GROSSO,ALBERDI 970  ,S2253,- -,primadulto86_sancarloscentro@santafe.edu.ar,86
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SAN AGUSTIN,82070036,820006208,GRADO RADIAL VI - ESCUELA NOCTURNA NRO 86 ARTEMIO GROSSO,SARMIENTO 1377  ,S3017,- -,primadulto86_sancarloscentro@santafe.edu.ar,86
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SAN CARLOS CENTRO,82070037,820006300,JARDIN DE INFANTES NRO 85 ROSA BERRA DE GIGLI,BELGRANO 178 NORTE ,S3013,03404 420710,jardin85_sancarloscentro@santafe.edu.ar,85
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SAN CARLOS CENTRO,82070037,820006400,E.E.M.P.A. NRO 1030,SARMIENTO 579  ,S3013,03404 422798,eempa1030_sancarloscentro@santafe.edu.ar,1030
Santa Fe,Estatal,Urbano,LAS COLONIAS,82070,SANTA CLARA DE BUENA VISTA,82070044,820006401,ANEXO I - E.E.M.P.A. NRO 1030,BUENOS AIRES 417  ,S2258,03404 493227,eempa6030_santaclaradebuenavista@santafe.edu.ar,1030
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SANTA CLARA DE BUENA VISTA,82070044,820006500,ESCUELA NRO 6130 VICENTE LOPEZ Y PLANES,   CAMPO QUIÑONES- ZONA RURAL,S2258,03492 470178,prim6130_santaclaradebuenavista@santafe.edu.ar,6130
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SANTA CLARA DE BUENA VISTA,82070044,820006600,ESCUELA NRO 536 DOMINGO FAUSTINO SARMIENTO,   ZONA RURAL - CAMPO COLLA,S2258,03492 470176,prim536_santaclaradebuenavista@santafe.edu.ar,536
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,SANTA CLARA DE BUENA VISTA,82070044,820006700,ESCUELA NRO 287 SANTA ROSA DE LIMA,   CAMPO RODRIGUEZ GALISTEO,S2258,0342 156308873,prim287_santaclaradebuenavista@santafe.edu.ar,287
Santa Fe,Estatal,Rural,LAS COLONIAS,82070,CORONEL RODRIGUEZ,82070005,820006800,ESCUELA NRO 354 CORONEL RODRIGUEZ,   PARAJE CORONEL RODRIGUEZ,S2258,- -,prim354_santaclaradebuenavista@santafe.edu.ar,354
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820006900,ESCUELA NRO 1098 DOCTOR LISANDRO DE LA TORRE,BOULEVARD CENTENARIO 1396 SOTO ,S2500,03471 422599,prim1098_canadadegomez@santafe.edu.ar,1098
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007300,JARDIN DE INFANTES NUCLEADO NRO 7 HORNERITO,TORTUGAS 1473  ,S2500,03471 429163,jardin7_canadadegomez@santafe.edu.ar,7
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007303,NUCLEO ITINERANTE III - JARDIN DE INFANTES NUCLEADO NRO 7 HORNERITO,   CAMPO LAS VASCAS,S2500,- -,jardin7_canadadegomez@santafe.edu.ar,7
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007304,NUCLEO IV - JARDIN DE INFANTES NUCLEADO NRO 7 HORNERITO,   ZONA RURAL - CAMPO CARDINI,S2500,034171 429163,jardin7_canadadegomez@santafe.edu.ar,7
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007500,E.E.M.P.A. NRO 1024 DOCTOR JULIO MAIZTEGUI,QUINTANA 75 CENTRO ,S2500,03471 429169,eempa1024_canadadegomez@santafe.edu.ar,1024
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007502,EXTENSION AULICA E.E.M.P.A. NRO 1024,"RUTA 9 KM 373,9   LABORATORIO NOVA",S2500,- -,eempa1024_canadadegomez@santafe.edu.ar,1024
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007600,E.E.S. ORIENTADA NRO 211 DOCTOR FELIX PAGANI,BALLESTEROS 907 CENTRO ,S2500,03471 423084,sec211_canadadegomez@santafe.edu.ar,211
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820007700,ESCUELA NRO 1249 GENERAL MARTIN MIGUEL DE GUEMES,BALLESTEROS 907 CENTRO ,S2500,03471 422108,prim1249_canadadegomez@santafe.edu.ar,1249
Santa Fe,Estatal,Urbano,IRIONDO,82056,VILLA ELOISA,82056024,820007900,JARDIN DE INFANTES NUCLEADO NRO 184 JOSE PEDRONI,RIVADAVIA 590 CENTRO ,S2503,03471 491747,jardin184_villaeloisa@santafe.edu.ar,184
Santa Fe,Estatal,Rural,IRIONDO,82056,SAN RICARDO,82056021,820007903,NUCLEO ITINERANTE III - JARDIN DE INFANTES NUCLEADO NRO 184 JOSE PEDRONI,   PARAJE SAN RICARDO,S2503,03471 491388,jardin184_villaeloisa@santafe.edu.ar,184
Santa Fe,Estatal,Urbano,IRIONDO,82056,SAN ESTANISLAO,82056020,820007905,NUCLEO V - JARDIN DE INFANTES NUCLEADO NRO 184 JOSE PEDRONI,RUTA NRO 178   SAN ESTANISLAO,S2503,03471 491072,jardin184_villaeloisa@santafe.edu.ar,184
Santa Fe,Estatal,Urbano,IRIONDO,82056,VILLA ELOISA,82056024,820008000,E.E.S. ORIENTADA NRO 221 MALVINAS ARGENTINAS,LISANDRO DE LA TORRE 1031  ,S2503,03471 491084,sec221_villaeloisa@santafe.edu.ar,221
Santa Fe,Privado,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820008100,ESCUELA PART. INC. NRO 1131 JOSÉ RAZETTO,NECOCHEA 1095 CENTRO ,S2500,03471 422812,prim1131_canadadegomez@santafe.edu.ar,1131
Santa Fe,Privado,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820008200,ESCUELA PART. INC. NRO 1024 SAN ANTONIO DE PADUA,CERINI 939 CENTRO ,S2500,03471 422065,prim1024_canadadegomez@santafe.edu.ar,1024
Santa Fe,Estatal,Urbano,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820008300,COLEGIO SUPERIOR NRO 47 FLORENTINO AMEGHINO,BOULEVARD CENTENARIO 1075  ,S2500,03471 422131,msuperior47_canadadegomez@santafe.edu.ar; msec47_canadadegomez@santafe.edu.ar,47
Santa Fe,Estatal,Rural,IRIONDO,82056,CAÑADA DE GOMEZ,82056005,820008302,N.R.E.S. ORIENTADA NRO 2047,   CAMPO MARINSALTA,S2500,03471 426977,nucleo2047_canadadegomez@santafe.edu.ar,2047
Santa Fe,Estatal,Urbano,CASEROS,82014,AREQUITO,82014001,820008900,JARDIN DE INFANTES NRO 109 MERCEDITAS DE SAN MARTIN,IRIGOYEN 1244  ,S2183,03464 471239,jardin109_arequito@santafe.edu.ar,109
Santa Fe,Estatal,Urbano,CASEROS,82014,AREQUITO,82014001,820009100,ESCUELA NRO 733 BERNARDINO RIVADAVIA,CARLOS CASADO 1491 NORTE ,S2183,03464 471376,prim733_arequito@santafe.edu.ar,733
Santa Fe,Estatal,Urbano,CASEROS,82014,AREQUITO,82014001,820009200,E.E. TÉCNICO PROFESIONAL NRO 388 DOCTOR JULIO ISIDRO MAIZTEGUI,DESTEFANIS 1254  ,S2183,03464 472011,sec388_arequito@santafe.edu.ar,388
Santa Fe,Estatal,Rural,CASEROS,82014,LOS NOGALES,82014014,820009700,ESCUELA NRO 203 GENERAL MANUEL BELGRANO,WHEELWRIGHT Y FRANCIA S/N  LOS NOGALES,S2183,03467 492020,prim203_sanjosedelaesquina@santafe.edu.ar,203
Santa Fe,Estatal,Urbano,CASEROS,82014,SAN JOSE DE LA ESQUINA,82014017,820009800,E.E. TÉCNICO PROFESIONAL NRO 476 MIGUEL CASTELLANOS,CERVANTES 555 SAN MIGUEL ,S2185,03467 461085,sec476_sanjosedelaesquina@santafe.edu.ar,476
Santa Fe,Estatal,Urbano,CASEROS,82014,SAN JOSE DE LA ESQUINA,82014017,820009900,ESCUELA NRO 1137 FELICIANO SANTA CLARA,AVENIDA BELGRANO 1225 CASADO ,S2185,03467 462011,prim1137_sanjosedelaesquina@santafe.edu.ar,1137
Santa Fe,Privado,Urbano,CASEROS,82014,SAN JOSE DE LA ESQUINA,82014017,820010000,ESCUELA PART. INC. NRO 1110 NUESTRA SEÑORA DE LOS ANGELES,25 DE MAYO 150 CENTRO ,S2185,03467 461014,prim1110_sanjosedelaesquina@santafe.edu.ar,1110
Santa Fe,Estatal,Urbano,CASEROS,82014,SAN JOSE DE LA ESQUINA,82014017,820010100,E.E.S. ORIENTADA NRO 226 GUARDIA DE LA ESQUINA,LAPRIDA 134  ,S2185,03467 462013,sec226_sanjosedelaesquina@santafe.edu.ar,226
